,title,description,type,rating
5577,Shopkins: World Vacation,"The Shopkins and Shoppies jet around the world in search of missing friend Kooky Cookie, a stolen diamond and more vloggable adventure.",Movie,TV-Y
5578,Shor In the City,"When three small-time Mumbai crooks steal a bag on a train, they find that it's filled with weapons and realize that their lives may be in danger.",Movie,TV-MA
5579,Shorgul,A Hindu boy's feelings for a Muslim girl expose the tensions between their two communities and open the door to chaos and violence.,Movie,TV-14
5580,Short Term 12,"A new charge at a foster care facility dredges up the memories of a young supervisor's own troubled past, and her tough exterior begins eroding.",Movie,R
5581,Shortcut Safari,Unexpected wildlife adventures and valuable life lessons await seven city kids when they suddenly become lost in the forest during a school field trip.,Movie,TV-PG
5583,Shot Caller,"Trying to go straight, a once-successful businessman fresh out of prison is forced to orchestrate a brazen crime or risk his family.",Movie,R
5584,Shot in the Dark,"Three rival freelance stringers scour the streets at night to film crime scenes, fires, accidents – and anything else they can sell to news outlets.",TV Show,TV-MA
5585,SHOT! The Psycho-Spiritual Mantra of Rock,Aptly named iconic rock photographer Mick Rock reconstructs his journey through the thrilling and murky universe of rock 'n' roll history.,Movie,TV-MA
5586,Show Me the Money,Four ordinary family members find their lives turned upside down when they become overnight millionaires thanks to an unlikely benefactor.,TV Show,TV-14
5588,Shtisel,"A Haredi family living in an ultra-Orthodox neighborhood of Jerusalem reckons with love, loss and the doldrums of daily life.",TV Show,TV-14
5589,Shubh Aarambh,"As her own wedding looms on the horizon, a marriage counselor strives to save her future in-laws' crumbling relationship.",Movie,TV-PG
5590,Shuddhi,An American woman on a revenge mission travels to India and befriends two journalists seeking justice for violent crimes against women.,Movie,TV-14
5591,Shutter,"After killing a young girl in a hit-and-run accident, a couple is haunted by more than just the memory of their deadly choice.",Movie,TV-MA
5592,Si Doel the Movie,"Fourteen years after the woman he loved left him, a married man ventures to Amsterdam to find her but must decide where his heart lies.",Movie,TV-PG
5595,Si saben cómo me pongo ¿pá qué me invitan?,"When four unhappy couples attend a spiritual retreat at a resort to try and solve their relationship troubles, shenanigans ensue.",Movie,TV-MA
5596,Sicilian Ghost Story,"When officials are slow to investigate a mysterious disappearance, a teen girl searches the dark woods on the outskirts of town for the boy she loves.",Movie,TV-MA
5597,Sick Note,"After slacker Daniel Glass is misdiagnosed with cancer, his lies lead him into an absurd web of fraud, blackmail, suspicion and misadventure.",TV Show,TV-MA
5598,Sid the Science Kid,"Armed with a healthy sense of humor and the help of his teacher, friends and family, curious kid Sid tackles questions youngsters have about science.",TV Show,TV-Y
5600,Sierra Burgess Is A Loser,A wrong-number text sparks a virtual romance between a smart but unpopular teen and a sweet jock who thinks he's talking to a gorgeous cheerleader.,Movie,PG-13
5601,Sigaram Thodu,A policeman's son overcomes his reluctance to join the force following a brutal attack on his father and ends up in the middle of a robbery case.,Movie,TV-14
5602,Signal,"Communicating via a walkie-talkie that transcends time, a profiler from 2015 and a detective from 1989 join forces to tackle crimes and injustice.",TV Show,TV-MA
5603,Signs,"When a young woman's murder shows similarities to a decade-old cold case, a new police commander must break the silence permeating an Owl Mountain town.",TV Show,TV-MA
5604,Silencer,"When a drug lord kidnaps his girlfriend’s daughter, a retired assassin leaves his newly peaceful life to go on a ruthless rampage to rescue the child.",Movie,TV-MA
5605,Silent,"""Silent"" is an animated short film created by Academy Award® winning Moonbot Studios. It celebrates how storytellers, inventors, and technology work together to create cinema magic.",Movie,TV-Y
5606,Silent Hill: Revelation,"Haunted by nightmares and her father's disappearance, Heather goes on the hunt for him – and discovers a disturbing truth about her own identity.",Movie,R
5607,Silicon Cowboys,"This documentary tells the story of Compaq Computer and its three founders, who in 1982, took on Goliath IBM at the height of its PC dominance.",Movie,TV-PG
5608,Sillu Karuppatti,"From first crushes to post-marriage relationships, love and connection are at the heart of the four interwoven stories in this anthology film.",Movie,TV-14
5609,Silvana Sin Lana,"When her fugitive husband leaves her homeless and penniless, a once-wealthy woman has no other choice but to join the working class.",TV Show,TV-14
5610,Silver Linings Playbook,"After a stint in a mental hospital, Pat moves in with his parents and tries to win back his wife, until he meets a woman who's as unstable as he is.",Movie,R
5611,Silver Spoon,"Forced to become an apprentice cop, cocky playboy Igor finds he's got a knack for police work. But his job soon takes him down a dark personal path.",TV Show,TV-MA
5612,Simon,"With his vivid imagination, Simon the rabbit searches for fun while learning about the importance of responsibility and communication.",TV Show,TV-Y
5613,Simon Amstell: Set Free,"Honest, introspective comic Simon Amstell digs deep and delivers a uniquely vulnerable stand-up set on love, ego, intimacy and ayahuasca.",Movie,TV-MA
5614,Simon Killer,"Young and heartbroken, a New Yorker travels to Paris to escape his romantic woes but is soon drawn into another all-consuming attraction.",Movie,TV-MA
5615,Simplemente Manu NNa,Eclectic stand-up comic Manu NNa relays everyday tales about the struggles of being gay in Mexico and shares his love of telenovelas and mezcal.,Movie,TV-MA
5616,Sin City,A busy couple tries to give their love life a boost by taking an impromptu weekend trip only to find their relationship tested in unexpected ways.,Movie,TV-14
5617,Sin senos no hay paraíso,"Inspired by a true story, this TV drama shadows a young Colombian woman who goes to shocking lengths to escape a life of poverty.",TV Show,TV-14
5618,Sin Senos sí Hay Paraíso,"Born into a small town controlled by the mafia, an irate young woman seeks revenge on the forces that tore apart and wrongfully imprisoned her family.",TV Show,TV-MA
5619,Sinatra: All or Nothing at All,"Legendary crooner Frank Sinatra's life and talent are captured in this documentary series featuring fond memories from friends, family and colleagues.",TV Show,TV-14
5620,"Sincerely Yours, Dhaka",Eleven emerging Bangladeshi filmmakers present a collection of gritty shorts centered on the capital city and the people living in its margins.,Movie,TV-MA
5621,Sing On!,"In this fun, fast-paced music contest hosted by Tituss Burgess, players sing their hearts out and try to hit the right notes to win up to $60,000.",TV Show,TV-PG
5622,Sing On! Germany,"In this karaoke competition hosted by Palina Rojinski, contestants must hit the right note for a chance to win up to 30,000 euros.",TV Show,TV-PG
5624,Singapore,"When his employee disappears in Singapore, Shyam travels from India to investigate the absence and becomes entangled in a deadly plot.",Movie,TV-PG
5625,Singapore Social,"Peer into the lives of young Singaporeans as they defy expectations and traverse the tricky terrain of career, romance and family.",TV Show,TV-MA
5626,Singh Saab the Great,"As the result of a TV journalist's curiosity, the amazing saga of an honorable government tax collector's past comes to light.",Movie,TV-14
5627,Singham,A police inspector kills himself after a powerful gangster frames him for corruption – but soon the thug faces the full force of cop Bajirao Singham.,Movie,TV-14
5628,Single,"Unemployed and immature, a somewhat pathetic bachelor sets his sights on finding a date for the wedding of his younger, more successful brother.",Movie,TV-PG
5629,Single Ladies Senior,Four best friends and spirited career women navigate the treacherous world of romance – even as it stands in the way of work and friendship.,TV Show,TV-MA
5630,Single Wives,"Looking for a second chance at love, four formerly married women are put in various romantic situations then receive feedback from a dating coach.",TV Show,TV-MA
5631,Singles Villa,"In a luxurious condominium complex with draconian rules forbidding all romance, two residents fall in love and dare to start a secret relationship.",TV Show,TV-14
5632,Singularity,"Nearly a century after artificial intelligence tried to eradicate people from Earth, two survivors search for a human enclave rumored to still exist.",Movie,PG-13
5633,Sinister 2,"A single mother and her twin sons move into a rural house, unaware of its history of being inhabited by an evil spirit that preys upon young children.",Movie,R
5634,Sinister Circle,A psychologist and her mute son confront evil forces at the site of a terrible tragedy involving an ancestral Ouija board and a demonic secret society.,Movie,TV-MA
5635,Sintonia,"Three teens living in the same São Paulo favela pursue their dreams while maintaining their friendship, amid a world of music, drugs and religion.",TV Show,TV-MA
5636,Siren,A groom-to-be and his pals celebrate with a debauched night out that ends with a supernatural assault by a stripper who is not what she appears to be.,Movie,TV-MA
